UserID,TweetID,TweetDate,TweetTime,Clean_Tweet,Likes,Retweets,ResultType,Topic,NegScore,NeuScore,PosScore,OverallSent,MFI,MFI_Score,ETH_Count,SOL_Count,BNB_Count,ADA_Count,AVAX_Count,DOGE_Count
1.24016E+18,1.46394E+18,11/25/2021,54:38.0,"for all those who are new to this working from home bitcoin trading options here's a little tip: get a trusted bitcoin expert and stick to him invest and play at similar times each day. because : in times of chaos, your investment is your anchor to success",0,0,recent,bitcoin,0.178,0.5205,0.3015,neutral,Stable,0,0,0,0,0,0,0
1.43583E+18,1.46394E+18,11/25/2021,54:38.0,usnota nota/btc amp; nota/eth buy,3,1,recent,bitcoin,0,1,0,neutral,Bullish,1,1,0,0,0,0,0
19814569,1.46394E+18,11/25/2021,54:38.0,"bitcoin and eth, but gas fees are too high to transfer",3,0,recent,bitcoin,0,1,0,neutral,Bullish,1,1,0,0,0,0,0
69413715,1.46394E+18,11/25/2021,54:38.0,3 people got 10 in free bitcoin today!!,0,0,recent,bitcoin,0,0.602,0.398,neutral,Stable,0,0,0,0,0,0,0
1.31565E+18,1.46394E+18,11/25/2021,54:40.0,im going to upcoming space. will you join too? askopulous opul algo btc eth,1,0,recent,bitcoin,0,0.6667,0.3333,neutral,Stable,0,3,0,0,1,0,0
1.46329E+18,1.46394E+18,11/25/2021,54:40.0,thats a great name for that cryptocurrency mana. as manna is what god gave to moses and his followers during his journey through the desert. they ate manna and survived for 40 years.,2,1,recent,bitcoin,0,0.745,0.255,neutral,Stable,0,0,0,0,0,0,0
8.72117E+17,1.46394E+18,11/25/2021,54:42.0,bitcoin vs dogecoin,0,0,recent,bitcoin,0,1,0,neutral,Stable,0,0,0,0,0,0,1
1.11755E+18,1.46394E+18,11/25/2021,54:43.0,axn shoulda coulda woulda isnt the way live the dream. dca into bitcoin daily. what else do you want?,3,0,recent,bitcoin,0.0663,0.7453,0.1883,neutral,Stable,0,0,0,0,0,0,0
2173714169,1.46394E+18,11/25/2021,54:43.0,exactly. we know that since 2015 already.,0,0,recent,bitcoin,0,1,0,neutral,Stable,0,0,0,0,0,0,0
1.26171E+18,1.46394E+18,11/25/2021,54:44.0,crypto prices usd/ bitcoin 59121.3727 axieinfinity 141.7216 vechain 0.1292 ethereumclassic 50.0981 internetcomputer 43.7124 eos 4.2784,1,0,recent,bitcoin,0,1,0,neutral,Stable,0,0,0,0,0,0,0
1.42985E+18,1.46394E+18,11/25/2021,54:45.0,"square's secretive tbd project, which earlier this year was framed by founder jack dorsey as a decentralized exchange for bitcoin,"" has debuted a new white paper. the 18page document sketches out ..."" via btc btc",0,0,recent,bitcoin,0,1,0,neutral,Stable,0,0,0,0,0,0,0
1.24016E+18,1.46394E+18,11/25/2021,54:47.0,"for all those who are new to this working from home bitcoin trading options here's a little tip: get a trusted bitcoin expert and stick to him invest and play at similar times each day. because : in times of chaos, your investment is your anchor to success",0,0,recent,bitcoin,0.178,0.5205,0.3015,neutral,Stable,0,0,0,0,0,0,0
1.32527E+18,1.46394E+18,11/25/2021,54:50.0,"sure all great tech but what you don't understand is the power dynamic in this world, who controls power and who controls society in general. all the tech ideas a re great but a countries currency the value of said currency is based on very real economic realities that are tied",0,0,recent,bitcoin,0,0.5775,0.4225,neutral,Stable,0,0,0,0,0,0,0
1.44489E+18,1.46394E+18,11/25/2021,54:50.0,"this is a good amp; promising project, their market work is very good, i hope the development of this project is getting big in the future",0,0,recent,bitcoin,0,0.45,0.55,positive,Stable,0,1,0,0,0,0,0
1.24016E+18,1.46394E+18,11/25/2021,54:57.0,"for all those who are new to this working from home bitcoin trading options here's a little tip: get a trusted bitcoin expert and stick to him invest and play at similar times each day. because : in times of chaos, your investment is your anchor to success",0,0,recent,bitcoin,0.178,0.5205,0.3015,neutral,Stable,0,0,0,0,0,0,0
1.45806E+18,1.46394E+18,11/25/2021,54:58.0,how do you buy it? i bought bitcoin years ago but cant remember how,0,0,recent,bitcoin,0,1,0,neutral,Bullish,2,0,0,0,0,0,0
8.77771E+17,1.46394E+18,11/25/2021,54:58.0,i didnt even know how to buy bitcoin in 2012,0,0,recent,bitcoin,0,1,0,neutral,Bullish,1,0,0,0,0,0,0
1.44489E+18,1.46394E+18,11/25/2021,55:00.0,"this is a good amp; promising project, their market work is very good, i hope the development of this project is getting big in the future",1,1,recent,bitcoin,0,0.45,0.55,positive,Stable,0,1,0,0,0,0,0
3438036358,1.46394E+18,11/25/2021,55:01.0,[1d] bitcoin market is weakly trending down current momentum suggests the market is neutral. visit: for more!,1,0,recent,bitcoin,0.1185,0.8815,0,neutral,Stable,0,0,0,0,0,0,0
243758564,1.46394E+18,11/25/2021,55:01.0,i like bitcoin because it enriches people i agree with.,7,0,recent,bitcoin,0,0.375,0.625,positive,Stable,0,0,0,0,0,0,0
983434278,1.46394E+18,11/25/2021,55:02.0,"emibear found bitcoin in a user vault at this location! join me playing coinhuntworld, it's awesome!",1,0,recent,bitcoin,0,0.5515,0.4485,neutral,Stable,0,0,0,0,0,0,0
7.74679E+17,1.46394E+18,11/25/2021,55:02.0,mvis cryptocompare bitcoin index licensed to vsfg/arrano capital,0,0,recent,bitcoin,0,1,0,neutral,Stable,0,0,0,0,0,0,0
1.16481E+18,1.46394E+18,11/25/2021,55:02.0,you can follow,0,0,recent,bitcoin,0,1,0,neutral,Stable,0,0,0,2,0,0,0
21484919,1.46394E+18,11/25/2021,55:03.0,yes yes i do,3,0,recent,bitcoin,0,0,1,positive,Stable,0,0,0,0,0,0,0
145390083,1.46394E+18,11/25/2021,55:04.0,"this is what i love about crypto, it never sleeps!!! send it all!!! am i right?!",3,0,recent,bitcoin,0,0.8057,0.1943,neutral,Stable,0,0,0,0,0,0,0
1.43476E+18,1.46394E+18,11/25/2021,55:08.0,white paper introducing jack dorsey's decentralized bitcoin exchange published on friday,1,1,recent,bitcoin,0,1,0,neutral,Stable,0,0,0,0,0,0,0
1504419672,1.46394E+18,11/25/2021,55:09.0,"cryptos are super volatile. if you're worried about every little move your coin makes, you will be torn. think long term. will this little red day matter when my coin 10x's in the future? i think not.",2,0,recent,bitcoin,0.086,0.7818,0.1322,neutral,Bearish,-1,0,0,0,0,0,0
